"place","lat","lon","family","type","years","comments","place_year"
"Алейск","52.492167","82.779457","чаус","","1917","**1917:** по переписи живёт семья Афанасия Кирилловича (из д. Вяткино)","Алейск (1917)"
"Аллак","53.802197","81.530165","суз","","с 1822","**1811:** свадьба Аверьяна Ивановича (из д. Верх-Сузун)<br>**1815:** по ИР нет Мурзинцевых<br>**1822:** вдова Анна Андреевна с сыном Аверьяном<br>Мурзинцевы продолжали жить до XX века","Аллак (с 1822)"
"Андроново","53.320323","81.186807","суз","","с 1893","**1893:** из д. Новотюменцево переселился Авксентий Савельевич (по переписи 1917)<br>**1917:** по переписи проживает 2 семьи (отделился сын Авксентия)","Андроново (с 1893)"
"Баево","53.26671","80.774381","","church","ок. 1900","Вознесенская церковь (с 1861)<br><br>**1901:** по переписи живёт семья Степана Евстафьевича<br>**1917:** по переписи живёт семья Степана Евстафьевича","Баево (ок. 1900)"
"Барнаул","53.346858","83.775761","","factory","с 1842","На заводе рекруты из Селезнево. Крестьяне из Усть-Чарышской пристани на заводских повинностях.<br>**1842:** у Фотия Яковлевича (из д. Селезнево) умерла дочь<br>**1849:** у мастерового Тихона Фотиевича родился сын<br>**1854:** у полицейского Михаила Георгиевича родился сын<br>**1858:** у мастерового Никиты Фотиевича родился сын<br>**1858:** свадьба писаря Андрея Георгиевича (из д. Верх-Сузун?)<br>**1861:** по ИР живёт 1 семья (вдова Михаила Георгиевича)<br>Мурзинцевы, вероятно, жили до XX века.","Барнаул (с 1842)"
"Барсуково","53.501911","83.277098","суз","","1769-1774","**1769:** по ИР живёт холостой Иван Трофимович (из д. Быково)<br>**1774:** по ИР одинокий Иван Трофимович, 43 года<br>**1780:** по ИР нет Мурзинцевых","Барсуково (1769-1774)"
"Белово","52.624255","83.625517","","church","","в приходе Троицкой церкви:<br>- Вяткино (ок. 1916)","Белово"
"Белоглазово","52.115507","82.571002","","church","","(так же Белоглазово-Кособоково)<br>в приходе Свято-Екатерининской церкви:<br>- Усть-Чарышская пристань (до 1858)","Белоглазово"
"Березово","53.700461","86.788122","","","1892","Ошибка писаря:<br>**1892:** Александр Муромцев(!)","Березово (1892)"
"Благовещенка","52.834321","79.868327","","","1942","**1942:** Петр Тимофеевич, участник ВОВ","Благовещенка (1942)"
"Большая Малышка","55.094478","69.23138","","","1799","**1799:** Авраам Мурзин выдал дочь замуж","Большая Малышка (1799)"
"Быково","53.42611","83.2232562","суз","","","**1782:** в 4-й ревизии упоминаются дети Трофима Федосеевича (жил в с. Касмала)","Быково"
"Быструшка","56.422107","70.625045","суз","","1710","**1710:** Федос Семенович<br>(в 1719 он в д. Верх-Сузун)","Быструшка (1710)"
